user,date,text,latitude,longitude;
EuniceDecampi,Sat Aug 10 07:12:19 +0000 2019,b'Drooling over this dining room by benjaminvandiver \n?\n?\n?\n\n#interiordesign #architecture #archilovers #inspiration? https://t.co/eiuBlperDA',51.50711486,-0.12731805;
tmj_lon_art,Sat Aug 10 07:11:24 +0000 2019,b'Join the HOK team! See our latest job opening here: https://t.co/yxWFwIUA0o #LandscapeArchitecture #London',51.5073509,-0.1277583;
huguinhobatista,Sat Aug 10 07:08:59 +0000 2019,b'?????#fitnessjourney #tbt #fitnessgoal #londonfitness #fitnessuk #fitness #dancerslife #bulkingseason #bodychange? https://t.co/HfgTYrOOPp',51.50711486,-0.12731805;
"Squeechie,Sat Aug 10 07:07:10 +0000 2019,""b""""Anything to do with keeping the youths alive I'm involved. Save our kids cause nobody else will. Catch me here late? https://t.co/tBkHblyCKq"""""",51.50711486,-0.12731805";
"AnthonyTeasdale,Sat Aug 10 07:06:37 +0000 2019,""b'After 24 years in the Smoke, I had my first pie, mash and liquor at manzespieandmash , courtesy of terryfarley. Lov? https://t.co/WKUcwjsAp4'"",51.50711486,-0.12731805";
Marianne_Lumb,Sat Aug 10 07:04:58 +0000 2019,b'So #excited to be here @SaturdayKitchen @katiebeversmua @matt_tebbutt @chefviveksingh @jane_parkinson ????????????? https://t.co/GUGICOAMSq',51.50711486,-0.12731805;
"tmj_LON_physici,Sat Aug 10 07:03:34 +0000 2019,""b'Stop staring at the clock every day. It\'s time for a new career. Follow us to view jobs with titles like """"Medical D? https://t.co/kMxx5DKwDb'"",51.5073509,-0.1277583";
serapiao_sfc,Sat Aug 10 07:03:13 +0000 2019,b'Dominguinhos\n\n#VIDADEFORROZEIRO \n#FORRO #LONDON #FORROLONDON #LOVE #FORROLONDON #FORROSTORE #FORROLONDONFESTIVAL? https://t.co/utAfiyKWum',51.50711486,-0.12731805;
"CaroliinaNeerot,Sat Aug 10 07:01:32 +0000 2019,""b""""THE PERFECT FACIAL at Home! Facials might seem intimidating (especially when you've got so many to choose from...)? https://t.co/cuti3gwmnl"""""",51.50711486,-0.12731805";
"tmj_lon_itdb,Sat Aug 10 06:58:54 +0000 2019,""b""""If you're looking for work in #London, England, check out this #Database job via the link in our bio: VP, Data Stra? https://t.co/JsW7XyChTE"""""",51.5073509,-0.1277583";
"donnasr,Sat Aug 10 06:55:03 +0000 2019,""b'Ninja. She thinks she owns my apartment. But I love her #blackcatsofinstagram @ London, United Kingdom https://t.co/7d28sHWyt6'"",51.50711486,-0.12731805";
KatieCoutureLdn,Sat Aug 10 06:54:48 +0000 2019,b'Gifted by @UniqueTwentyOne | It?s Saturday; I?ve got Waitress the musical songs in my head and I?m off to get rid o? https://t.co/hyRhdKo7B8',51.50711486,-0.12731805
ErrolDouglas1,Sat Aug 10 06:51:58 +0000 2019,b'HJ?s British Hairdressing Awards Hall of Fame is one of the highest accolades in hairdressing and achieving a place? https://t.co/3cNLMzuAnV',51.50711486,-0.12731805;
BdexEntz,Sat Aug 10 06:50:57 +0000 2019,b'flyboyinc_ boss @iamkissdaniel apologies to his fans about the show that was cancelled in #canada \n#kizzdaniel? https://t.co/P2gV7J825C',51.50711486,-0.12731805;
feedthehuman,Sat Aug 10 06:42:18 +0000 2019,b'Some ankle mobility edits that didn?t quite make it into my ?Rewild Your Squat? tutorial. (Look right for more)\n.\nO? https://t.co/ysrQvZNi0d',51.50711486,-0.12731805;
"kingsswear,Sat Aug 10 06:40:17 +0000 2019,""b""""Of a Truth Your 'Faith' Is Measured By Your 'Patience''\n\n   Tee's Branded By #kingsswear.\n\n#faith\n#patience\n#tshirt? https://t.co/JvLd0EZP7a"""""",51.50711486,-0.12731805";
"BdexEntz,Sat Aug 10 06:36:07 +0000 2019,""b'Lawmaker accused of beating, forcing lady to walk naked\n\nUduak Godwin Nseobot aka King Pele, a councillor in Ibiono? https://t.co/jOK6gfNf6K'"",51.50711486,-0.12731805";
"abcfit3,Sat Aug 10 06:32:54 +0000 2019,""b'Please do me a favour.... forget the bro split (chest on Monday, back on Tuesday etc.) Opt for one of these splits? https://t.co/7KpiDLqZrn'"",51.50711486,-0.12731805";
psychNstrength,Sat Aug 10 06:31:42 +0000 2019,b'Feedback Post \n.\nGive it up for C. Girl you have so much going for you! Congratulations and good luck! ??\n.\n.\n\n.? https://t.co/3lBf3McPkA',51.50711486,-0.12731805;
rnli_911,Sat Aug 10 06:30:31 +0000 2019,b'??OUR UNSUNG HEROES??\n-\nJames and I would like to take this opportunity to thank our ?unsung heroes?:-\n-\n??Rex of 2? https://t.co/7r1H3eSBNG',51.50711486,-0.12731805;
"Rogersmusicman,Sat Aug 10 06:28:19 +0000 2019,""b'Armed and Dangerous... Jehovah God is Almighty                            ???????? @ London, United Kingdom https://t.co/qCV6X3N6Oq'"",51.50711486,-0.12731805";
"Lalalishaa,Sat Aug 10 06:25:43 +0000 2019,""b'Room with a view, zegt. Ochtend. Nog ni klaar voor. ??? Om 2u een date met Shakespeare en vanavond feestje dussss o? https://t.co/tyNvwkQnJW'"",51.50711486,-0.12731805";
rushbynature,Sat Aug 10 06:20:02 +0000 2019,b'This weekend couldn?t come quick enough. It?s been a particularly challenging week with lots going on at home. This? https://t.co/mRtww0qvzP',51.50711486,-0.12731805;
_RUBY_ROBINSON,Sat Aug 10 06:16:14 +0000 2019,b'My face knowing I have a big secret brewing for you all..???????\nGod I am still so obsessed with this photoshoot..s? https://t.co/hDgQOPFC5F',51.50711486,-0.12731805;
"BMEVoluntears,Sat Aug 10 06:14:06 +0000 2019,""b'#dowry @ London, United Kingdom https://t.co/B4crL5FWUt'"",51.50711486,-0.12731805";
"MarineAndVine,Sat Aug 10 06:12:54 +0000 2019,""b'TAHITIAN OIL | Is a super light dry body oil, imparting a satin, glowy sheen on the skin without any greasiness. Wi? https://t.co/CdkM9lRjOD'"",51.50711486,-0.12731805";
LondonPHRace,Sat Aug 10 06:10:33 +0000 2019,b'RACERS : Reserve your StarWars panto-horse team place in the galaxies silliest race! Ltd (only 12 places left) Regi? https://t.co/yic5HJMxt2',51.50711486,-0.12731805;
"ebyi,Sat Aug 10 06:10:05 +0000 2019,""b'A little sister time is good for the soul ????????\n\n@steamii \n\n#blood #sisterday @ London, United Kingdom https://t.co/y7yDOkwYbJ'"",51.50711486,-0.12731805";
"gemmamusic_,Sat Aug 10 06:09:37 +0000 2019,""b'Until next time London ?? ps. Does this vans dilemma thang we all are having with these bad boys ??, have anything? https://t.co/YqYJfiFkA6'"",51.50711486,-0.12731805";
VADMBotanicsLtd,Sat Aug 10 05:55:54 +0000 2019,b'VADM Botanics Luxury Black Soap blended especially for you. Guaranteed to leave your skin feeling rejuvenated and s? https://t.co/efAtA8iGTK',51.50711486,-0.12731805;
"Brentknits,Sat Aug 10 05:54:56 +0000 2019,""b'Flash sale over the weekend with Free Worldwide Shipping on all Bridal Boleros, Shrugs and cover ups. \nWww:? https://t.co/NNZlCuEmDx'"",51.50711486,-0.12731805";
VADMBotanicsLtd,Sat Aug 10 05:54:14 +0000 2019,b'VADM Botanics Luxury Face and Body Butter blended especially for sensitive skin. Guaranteed to leave your skin feel? https://t.co/G29hbSeMmn',51.50711486,-0.12731805;
VADMBotanicsLtd,Sat Aug 10 05:53:26 +0000 2019,b'VADM Botanics Luxury Black Soap and Body Butter Set blended especially for you. Guaranteed to leave your skin feeli? https://t.co/omurjXtdVm',51.50711486,-0.12731805;
VADMBotanicsLtd,Sat Aug 10 05:53:09 +0000 2019,b'VADM Botanics Luxury Face and Body Butter blended especially for you. Guaranteed to leave your skin feeling rejuven? https://t.co/n8VuVYGmGl',51.50711486,-0.12731805;
VADMBotanicsLtd,Sat Aug 10 05:52:49 +0000 2019,b'VADM Botanics Luxury Black Soap and Body Butter Set blended especially for you. Guaranteed to leave your skin feeli? https://t.co/4EuXK6CVNC',51.50711486,-0.12731805;
"MurrayProject,Sat Aug 10 05:40:26 +0000 2019,""b'I love it when I?m in London! @ London, United Kingdom https://t.co/MietjwUxPE'"",51.50711486,-0.12731805";
"fyitsapril,Sat Aug 10 05:39:22 +0000 2019,""b'#aesthetic christianhernandezx @mheszmo14 ? @ London, United Kingdom https://t.co/F4QiSOWimg'"",51.50711486,-0.12731805";
BernardBullen,Sat Aug 10 05:38:22 +0000 2019,b'Posted withrepost ? armatty_edits El accidente de Armando Parte2/2.\nFue muy fuerte y que dolor por ambos??? pero sa? https://t.co/U7gILczmGv',51.50711486,-0.12731805;
